Barcode	Position	gener	Logica	Bio	chimica	Mate	Score	Ateneo
554544333149853	8969	4.1	1.5	17.1	-2.4	4.8	25.1	sapienza
665533431338743	8970	1.1	0.3	19	1.8	2.9	25.1	sapienza
445653533138944	8971	1.5	0.7	19	4.4	-0.5	25.1	torino
664444353258743	8972	1.5	-0.4	19.7	2.1	2.2	25.1	esteri
446455343259854	8973	0	-1.2	20.9	2.5	2.9	25.1	esteri
464445532239845	8974	-0.4	-1.6	21.2	2.6	3.3	25.1	esteri
665655451259745	8975	2.2	-0.1	23.1	-3.7	3.6	25.1	federico
456634553249853	8976	4.1	1.8	12.6	3.3	3.2	25	torino
566433343339943	8977	4.5	3	12.7	3	1.8	25	federico
455445353258953	8978	1.5	0.7	14.8	2.1	5.9	25	esteri
655553353149744	8979	1.1	2.6	17.6	2.2	1.5	25	dent_sienna
665535531248745	8980	2.6	2.6	17.8	0.6	1.4	25	milano
544553542338743	8981	1.5	2.2	18.3	0	3	25	esteri
454634441349943	8982	0	0	18.7	5.2	1.1	25	milano
456445532149954	8983	1.1	-1.2	19.3	1.7	4.1	25	esteri
656533442139755	8984	2.2	2.2	20.5	-2	2.1	25	bicocca
565545451258944	8985	1.1	2.2	20.5	-0.2	1.4	25	esteri
656634333238755	8986	1.1	1.1	20.6	1.5	0.7	25	bologna
556534441239854	8987	1.5	1.1	20.6	0.7	1.1	25	esteri
444434332359755	8988	1.5	0	23.2	-0.8	1.1	25	sapienza
664654352148853	8989	2.6	0.7	23.5	-1.3	-0.5	25	bari
664555541139744	8990	1.1	6	8.2	3.7	5.9	24.9	esteri
454553553358844	8991	2.6	2.2	14.2	0	5.9	24.9	bicocca
664434543358944	8992	4.1	-1.6	16.3	-0.9	7	24.9	pavia
544633432138743	8993	1.1	1.1	16.4	4.8	1.5	24.9	esteri
645535351138953	8994	1.1	6	16.7	0	1.1	24.9	esteri
565454442359853	8995	1.5	0.7	17.2	3.7	1.8	24.9	milano
665535551349844	8996	-0.4	3	17.5	-0.4	5.2	24.9	torino
566455431138944	8997	2.6	4.1	17.8	-3.6	4	24.9	esteri
454645352239943	8998	4.1	1.8	18.6	-4	4.4	24.9	federico
655455453158955	8999	-0.4	2.6	20.2	2.2	0.3	24.9	esteri
564553351258953	9000	0	-1.6	21.2	-1	6.3	24.9	esteri
465644342139755	9001	-0.4	-0.4	21.6	1.5	2.6	24.9	esteri
645533443248844	9002	0	-1.2	23.6	1.4	1.1	24.9	esteri
644634352238843	9003	2.6	5.6	9.6	1	6	24.8	dent_sienna
454654451338843	9004	2.6	3	15.6	2.5	1.1	24.8	bari
464545351159745	9005	1.5	3	15.6	4.1	0.6	24.8	esteri
646645443158755	9006	1.1	3	15.9	3.7	1.1	24.8	esteri
564554332258754	9007	0	1.1	16	1.8	5.9	24.8	esteri
655633343138854	9008	1.1	-0.1	17.4	1.3	5.1	24.8	esteri
555434341349944	9009	3	2.2	18.6	-0.5	1.5	24.8	federico
444555431149744	9010	2.6	0.7	19.4	1.8	0.3	24.8	catania
465535351249954	9011	0	2.6	19.4	0.2	2.6	24.8	esteri
544435532248954	9012	-0.8	0.7	20.9	1.4	2.6	24.8	esteri
564443552258854	9013	0.7	0.3	23.9	0.9	-1	24.8	esteri
646433553158944	9014	-0.4	7.5	2.3	9	6.3	24.7	esteri
654554343159743	9015	2.2	6	9.5	-0.8	7.8	24.7	bari
